,Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
121,10-APR-2024,22720.25,22775.7,22673.7,22753.8,276847931.0,25355.05
122,12-APR-2024,22677.4,22726.45,22503.75,22519.4,357187778.0,36456.91
123,15-APR-2024,22339.05,22427.45,22259.55,22272.5,355465814.0,29474.59
124,16-APR-2024,22125.3,22213.75,22079.45,22147.9,317267066.0,28661.04
125,18-APR-2024,22212.35,22326.5,21961.7,21995.85,456906707.0,43314.67
126,19-APR-2024,21861.5,22179.55,21777.65,22147.0,362530569.0,36073.63
127,22-APR-2024,22336.9,22375.65,22198.15,22336.4,279259571.0,26841.2
128,23-APR-2024,22447.05,22447.55,22349.45,22368.0,231520813.0,25651.64
129,24-APR-2024,22421.55,22476.45,22384.0,22402.4,235898642.0,21925.6
130,25-APR-2024,22316.9,22625.95,22305.25,22570.35,475044740.0,53803.8
131,26-APR-2024,22620.4,22620.4,22385.55,22419.95,329887340.0,36984.89
132,29-APR-2024,22475.55,22655.8,22441.9,22643.4,291957361.0,32431.45
133,30-APR-2024,22679.65,22783.35,22568.4,22604.85,361859375.0,38741.7
134,02-MAY-2024,22567.85,22710.5,22567.85,22648.2,445909456.0,43133.31
135,03-MAY-2024,22766.35,22794.7,22348.05,22475.85,438060727.0,44432.55
136,06-MAY-2024,22561.6,22588.8,22409.45,22442.7,320255789.0,33417.53
137,07-MAY-2024,22489.75,22499.05,22232.05,22302.5,297815469.0,31512.26
138,08-MAY-2024,22231.2,22368.65,22185.2,22302.5,277438692.0,29717.33
139,09-MAY-2024,22224.8,22307.75,21932.4,21957.5,331327454.0,37870.88
140,10-MAY-2024,21990.95,22131.3,21950.3,22055.2,265804411.0,28717.71
141,13-MAY-2024,22027.95,22131.65,21821.05,22104.05,278186886.0,29036.08
142,14-MAY-2024,22112.9,22270.05,22081.25,22217.85,230238941.0,23741.66
143,15-MAY-2024,22255.6,22297.55,22151.75,22200.55,231935478.0,23815.79
144,16-MAY-2024,22319.2,22432.25,22054.55,22403.85,368945092.0,38836.11
145,17-MAY-2024,22415.25,22502.15,22345.65,22466.1,242654570.0,27388.67
146,18-MAY-2024,22512.85,22520.25,22470.05,22502.0,19064566.0,1572.77
147,21-MAY-2024,22404.55,22591.1,22404.55,22529.05,347591587.0,30782.35
148,22-MAY-2024,22576.6,22629.5,22483.15,22597.8,290345590.0,28556.14
149,23-MAY-2024,22614.1,22993.6,22577.45,22967.65,369767547.0,39157.65
150,24-MAY-2024,22930.75,23026.4,22908.0,22957.1,261927120.0,27966.99
151,27-MAY-2024,23038.95,23110.8,22871.2,22932.45,260006078.0,27204.54
152,28-MAY-2024,22977.15,22998.55,22858.5,22888.15,217890750.0,23054.65
153,29-MAY-2024,22762.75,22825.5,22685.45,22704.7,269932784.0,27549.09
154,30-MAY-2024,22617.45,22705.75,22417.0,22488.65,373374457.0,32991.46
155,31-MAY-2024,22568.1,22653.75,22465.1,22530.7,572122639.0,67040.32
156,03-JUN-2024,23337.9,23338.7,23062.3,23263.9,569425569.0,56418.25
157,04-JUN-2024,23179.5,23179.5,21281.45,21884.5,1006105058.0,93786.44
158,05-JUN-2024,22128.35,22670.4,21791.95,22620.35,638487077.0,64326.85
159,06-JUN-2024,22798.6,22910.15,22642.6,22821.4,480413289.0,49047.39
160,07-JUN-2024,22821.85,23320.2,22789.05,23290.15,473554898.0,47621.54
161,10-JUN-2024,23319.15,23411.9,23227.15,23259.2,304392368.0,29060.4
162,11-JUN-2024,23283.75,23389.45,23206.65,23264.85,305185666.0,29190.91
163,12-JUN-2024,23344.45,23441.95,23295.95,23322.95,295630910.0,31795.48
164,13-JUN-2024,23480.95,23481.05,23353.9,23398.9,268279841.0,30151.67
165,14-JUN-2024,23464.95,23490.4,23334.25,23465.6,223086741.0,25746.34
166,18-JUN-2024,23570.8,23579.05,23499.7,23557.9,272207297.0,29389.75
167,19-JUN-2024,23629.85,23664.0,23412.9,23516.0,328811255.0,39430.39
168,20-JUN-2024,23586.15,23624.0,23442.6,23567.0,280336970.0,33390.07
169,21-JUN-2024,23661.15,23667.1,23398.2,23501.1,609877803.0,70062.97
170,24-JUN-2024,23382.3,23558.1,23350.0,23537.85,239358460.0,24862.37
171,25-JUN-2024,23577.1,23754.15,23562.05,23721.3,298111025.0,34263.36
172,26-JUN-2024,23723.1,23889.9,23670.45,23868.8,287824687.0,33979.62
173,27-JUN-2024,23881.55,24087.45,23805.4,24044.5,515227010.0,61216.71
174,28-JUN-2024,24085.9,24174.0,23985.8,24010.6,354779832.0,41242.87
175,01-JUL-2024,23992.95,24164.0,23992.7,24141.95,242468081.0,28204.06
176,02-JUL-2024,24228.75,24236.35,24056.4,24123.85,309629240.0,34838.65
177,03-JUL-2024,24291.75,24309.15,24207.1,24286.5,289201551.0,36661.17
178,04-JUL-2024,24369.95,24401.0,24281.0,24302.15,251189844.0,28466.6
179,05-JUL-2024,24213.35,24363.0,24168.85,24323.85,298381204.0,32052.48
180,08-JUL-2024,24329.45,24344.6,24240.55,24320.55,266299131.0,26356.03
181,09-JUL-2024,24351.0,24443.6,24331.9,24433.2,250537091.0,29361.08
182,10-JUL-2024,24459.85,24461.05,24141.8,24324.45,292263786.0,35358.54
183,11-JUL-2024,24396.55,24402.65,24193.75,24315.95,306404194.0,32115.44
184,12-JUL-2024,24387.95,24592.2,24331.15,24502.15,325823474.0,39565.33
185,15-JUL-2024,24587.6,24635.05,24522.75,24586.7,305395934.0,31593.04
186,16-JUL-2024,24615.9,24661.25,24587.65,24613.0,283212233.0,28668.71
187,18-JUL-2024,24543.8,24837.75,24504.45,24800.85,350924425.0,40477.17
189,22-JUL-2024,24445.75,24595.2,24362.3,24509.25,324190553.0,32496.23
190,23-JUL-2024,24568.9,24582.55,24074.2,24479.05,436408768.0,44921.42
191,24-JUL-2024,24444.95,24504.25,24307.25,24413.5,366616574.0,39538.11
192,25-JUL-2024,24230.95,24426.15,24210.8,24406.1,391821970.0,37853.62
193,26-JUL-2024,24423.35,24861.15,24410.9,24834.85,383826136.0,42118.36
194,29-JUL-2024,24943.3,24999.75,24774.6,24836.1,354966070.0,37102.92
195,30-JUL-2024,24839.4,24971.75,24798.65,24857.3,384989431.0,37576.58
196,31-JUL-2024,24886.7,24984.6,24856.5,24951.15,333646302.0,35411.32
197,01-AUG-2024,25030.95,25078.3,24956.4,25010.9,431313292.0,38822.9
198,02-AUG-2024,24789.0,24851.9,24686.85,24717.7,345027881.0,35368.54
199,05-AUG-2024,24302.85,24350.05,23893.7,24055.6,486994718.0,45066.65
200,06-AUG-2024,24189.85,24382.6,23960.4,23992.55,312339387.0,31553.65
201,07-AUG-2024,24289.4,24337.7,24184.9,24297.5,317564429.0,29738.85
202,08-AUG-2024,24248.55,24340.5,24079.7,24117.0,311875940.0,30858.18
203,09-AUG-2024,24386.85,24419.75,24311.2,24367.5,215129992.0,22339.19
204,12-AUG-2024,24320.05,24472.8,24212.1,24347.0,279925100.0,30311.85
205,13-AUG-2024,24342.35,24359.95,24116.5,24139.0,239727640.0,25459.58
206,14-AUG-2024,24184.4,24196.5,24099.7,24143.75,303254705.0,27834.61
207,16-AUG-2024,24334.85,24563.9,24204.5,24541.15,271611087.0,28521.9
208,19-AUG-2024,24636.35,24638.8,24522.95,24572.65,243645503.0,22124.41
209,20-AUG-2024,24648.9,24734.3,24607.2,24698.85,238318940.0,25478.73
210,21-AUG-2024,24680.55,24787.95,24654.5,24770.2,257114212.0,27404.63
211,22-AUG-2024,24863.4,24867.35,24784.45,24811.5,220345125.0,24227.03
212,23-AUG-2024,24845.4,24858.4,24771.65,24823.15,206800655.0,23134.22
213,26-AUG-2024,24906.1,25043.8,24874.7,25010.6,210266456.0,22166.86
214,27-AUG-2024,25024.8,25073.1,24973.65,25017.75,223346636.0,26695.0
215,28-AUG-2024,25030.8,25129.6,24964.65,25052.35,220419448.0,26994.19
216,29-AUG-2024,25035.3,25192.9,24998.5,25151.95,353993900.0,43221.73
217,30-AUG-2024,25249.7,25268.35,25199.4,25235.9,638166179.0,89554.91
218,02-SEP-2024,25333.6,25333.65,25235.5,25278.7,222815249.0,28187.71
219,03-SEP-2024,25313.4,25321.7,25235.8,25279.85,212131921.0,27276.14
220,04-SEP-2024,25089.95,25216.0,25083.8,25198.7,253788501.0,26293.35
221,05-SEP-2024,25250.5,25275.45,25127.75,25145.1,222242223.0,26272.38
222,06-SEP-2024,25093.7,25168.75,24801.3,24852.15,311671856.0,33001.17
223,09-SEP-2024,24823.4,24957.5,24753.15,24936.4,254367252.0,25180.28
224,10-SEP-2024,24999.4,25130.5,24896.8,25041.1,251274802.0,27846.31
225,11-SEP-2024,25034.0,25113.7,24885.15,24918.45,279229206.0,29395.73
226,12-SEP-2024,25059.65,25433.35,24941.45,25388.9,380069653.0,41747.91
227,13-SEP-2024,25430.45,25430.5,25292.45,25356.5,250781898.0,25530.69
228,16-SEP-2024,25406.65,25445.7,25336.2,25383.75,168694880.0,18705.01
229,17-SEP-2024,25416.9,25441.65,25352.25,25418.55,215956868.0,25280.83
230,18-SEP-2024,25402.4,25482.2,25285.55,25377.55,215727159.0,28832.0
231,19-SEP-2024,25487.05,25611.95,25376.05,25415.8,314461263.0,34389.27
232,20-SEP-2024,25525.95,25849.25,25426.6,25790.95,533067422.0,68915.27
233,23-SEP-2024,25872.55,25956.0,25847.35,25939.05,209187756.0,24825.74
234,24-SEP-2024,25921.45,26011.55,25886.85,25940.4,384115033.0,35573.63
235,25-SEP-2024,25899.45,26032.8,25871.35,26004.15,278540972.0,27868.08
236,26-SEP-2024,26005.4,26250.9,25998.4,26216.05,370895477.0,40838.36
237,27-SEP-2024,26248.25,26277.35,26151.4,26178.95,490332370.0,55420.63
238,30-SEP-2024,26061.3,26134.7,25794.1,25810.85,375370974.0,36028.06
239,01-OCT-2024,25788.45,25907.6,25739.2,25796.9,247423786.0,27473.29
240,03-OCT-2024,25452.85,25639.45,25230.3,25250.1,423395030.0,45689.5
241,04-OCT-2024,25181.9,25485.05,24966.8,25014.6,374914801.0,42719.71
242,07-OCT-2024,25084.1,25143.0,24694.35,24795.75,374345795.0,40550.24
243,08-OCT-2024,24832.2,25044.0,24756.8,25013.15,333220055.0,33493.36
244,09-OCT-2024,25065.8,25234.05,24947.7,24981.95,290562844.0,30877.63
245,10-OCT-2024,25067.05,25134.05,24979.4,24998.45,261364749.0,28046.45
246,11-OCT-2024,24985.3,25028.65,24920.05,24964.25,210462717.0,21734.97
